,symbol,date,price
0,AAPL,2022-01-31,173.77145385742188
1,AAPL,2022-02-01,173.6024627685547
2,AAPL,2022-02-02,174.8253631591797
3,AAPL,2022-02-03,171.90231323242188
4,AAPL,2022-02-04,171.61363220214844
5,AAPL,2022-02-07,170.8869171142578
6,AAPL,2022-02-08,174.0426483154297
7,AAPL,2022-02-09,175.48609924316406
8,AAPL,2022-02-10,171.34483337402344
9,AAPL,2022-02-11,167.88052368164062
10,AAPL,2022-02-14,168.11944580078125
11,AAPL,2022-02-15,172.01182556152344
12,AAPL,2022-02-16,171.77291870117188
13,AAPL,2022-02-17,168.11944580078125
14,AAPL,2022-02-18,166.5465545654297
15,AAPL,2022-02-22,163.57997131347656
16,AAPL,2022-02-23,159.34912109375
17,AAPL,2022-02-24,162.00709533691406
18,AAPL,2022-02-25,164.1075897216797
19,AAPL,2022-02-28,164.37637329101562
20,AAPL,2022-03-01,162.4650115966797
21,AAPL,2022-03-02,165.8098907470703
22,AAPL,2022-03-03,165.4813690185547
23,AAPL,2022-03-04,162.43515014648438
24,AAPL,2022-03-07,158.5825958251953
25,AAPL,2022-03-08,156.73095703125
26,AAPL,2022-03-09,162.2161407470703
27,AAPL,2022-03-10,157.8061065673828
28,AAPL,2022-03-11,154.0331573486328
29,AAPL,2022-03-14,149.94166564941406
30,AAPL,2022-03-15,154.3915252685547
31,AAPL,2022-03-16,158.8712615966797
32,AAPL,2022-03-17,159.89663696289062
33,AAPL,2022-03-18,163.24148559570312
34,AAPL,2022-03-21,164.6352081298828
35,AAPL,2022-03-22,168.05970764160156
36,AAPL,2022-03-23,169.44345092773438
37,AAPL,2022-03-24,173.28607177734375
38,AAPL,2022-03-25,173.93313598632812
39,AAPL,2022-03-28,174.80918884277344
40,AAPL,2022-03-29,178.15403747558594
41,AAPL,2022-03-30,176.9694061279297
42,AAPL,2022-03-31,173.82363891601562
43,AAPL,2022-04-01,173.5249786376953
44,AAPL,2022-04-04,177.63638305664062
45,AAPL,2022-04-05,174.2716064453125
46,AAPL,2022-04-06,171.05616760253906
47,AAPL,2022-04-07,171.36474609375
48,AAPL,2022-04-08,169.32398986816406
49,AAPL,2022-04-11,165.0035400390625
50,AAPL,2022-04-12,166.90493774414062
51,AAPL,2022-04-13,169.63258361816406
52,AAPL,2022-04-14,164.54559326171875
53,AAPL,2022-04-18,164.32659912109375
54,AAPL,2022-04-19,166.64608764648438
55,AAPL,2022-04-20,166.4768524169922
56,AAPL,2022-04-21,165.67050170898438
57,AAPL,2022-04-22,161.0613555908203
58,AAPL,2022-04-25,162.14645385742188
59,AAPL,2022-04-26,156.09384155273438
60,AAPL,2022-04-27,155.86488342285156
61,AAPL,2022-04-28,162.9030303955078
62,AAPL,2022-04-29,156.94000244140625
63,AAPL,2022-05-02,157.2486114501953
64,AAPL,2022-05-03,158.7617645263672
65,AAPL,2022-05-04,165.27232360839844
66,AAPL,2022-05-05,156.06398010253906
67,AAPL,2022-05-06,156.8017120361328
68,AAPL,2022-05-09,151.59759521484375
69,AAPL,2022-05-10,154.04013061523438
70,AAPL,2022-05-11,146.05450439453125
71,AAPL,2022-05-12,142.12648010253906
72,AAPL,2022-05-13,146.66265869140625
73,AAPL,2022-05-16,145.09742736816406
74,AAPL,2022-05-17,148.7861785888672
75,AAPL,2022-05-18,140.39178466796875
76,AAPL,2022-05-19,136.9323272705078
77,AAPL,2022-05-20,137.1715850830078
78,AAPL,2022-05-23,142.6748046875
79,AAPL,2022-05-24,139.93316650390625
80,AAPL,2022-05-25,140.0926971435547
81,AAPL,2022-05-26,143.34275817871094
82,AAPL,2022-05-27,149.18495178222656
83,AAPL,2022-05-31,148.38739013671875
84,AAPL,2022-06-01,148.25778198242188
85,AAPL,2022-06-02,150.75018310546875
86,AAPL,2022-06-03,144.9379119873047
87,AAPL,2022-06-06,145.6956024169922
88,AAPL,2022-06-07,148.25778198242188
89,AAPL,2022-06-08,147.51007080078125
90,AAPL,2022-06-09,142.20623779296875
91,AAPL,2022-06-10,136.71299743652344
92,AAPL,2022-06-13,131.4789581298828
93,AAPL,2022-06-14,132.3562774658203
94,AAPL,2022-06-15,135.01815795898438
95,AAPL,2022-06-16,129.66448974609375
96,AAPL,2022-06-17,131.15992736816406
97,AAPL,2022-06-21,135.4568328857422
98,AAPL,2022-06-22,134.93841552734375
99,AAPL,2022-06-23,137.8495330810547
100,AAPL,2022-06-24,141.22921752929688
101,AAPL,2022-06-27,141.22921752929688
102,AAPL,2022-06-28,137.02206420898438
103,AAPL,2022-06-29,138.80661010742188
104,AAPL,2022-06-30,136.3042449951172
105,AAPL,2022-07-01,138.50750732421875
106,AAPL,2022-07-05,141.1295166015625
107,AAPL,2022-07-06,142.4853973388672
108,AAPL,2022-07-07,145.90496826171875
109,AAPL,2022-07-08,146.5928497314453
110,AAPL,2022-07-11,144.429443359375
111,AAPL,2022-07-12,145.41644287109375
112,AAPL,2022-07-13,145.04757690429688
113,AAPL,2022-07-14,148.0185089111328
114,AAPL,2022-07-15,149.71334838867188
115,AAPL,2022-07-18,146.62277221679688
116,AAPL,2022-07-19,150.5408172607422
117,AAPL,2022-07-20,152.57461547851562
118,AAPL,2022-07-21,154.87759399414062
119,AAPL,2022-07-22,153.6214141845703
120,AAPL,2022-07-25,152.48489379882812
121,AAPL,2022-07-26,151.13900756835938
122,AAPL,2022-07-27,156.31320190429688
123,AAPL,2022-07-28,156.87152099609375
124,AAPL,2022-07-29,162.01580810546875
125,AAPL,2022-08-01,161.01885986328125
126,AAPL,2022-08-02,159.52340698242188
